CustomerNumber|Address1|Address2|Address3|Address4|PostCodeOut|PostCodeIn|PostCode|CountryCode|ExtractDate
1000000001|56 South Street|Romford|Essex||SA11|1EB|SA11 1EB|GB|2020-01-01
1000000002|138 High Street|Uxbridge|Middlesex||NP20|1RL|NP20 1RL|GB|2020-01-01
1000000003|798 High Road|Finchley|London||CM21|9AX|CM21 9AX|GB|2020-01-01
1000000004|470 High Road|Wembley|Middlesex||BT43|6AF|BT43 6AF|GB|2020-01-01
1000000005|90 Town Square|Basildon|Essex||LS1 |6HW|LS1 6HW |GB|2020-01-01
1000000006|106-108 High Road|Loughton|Essex||NR32|1EP|NR32 1EP|GB|2020-01-01
1000000007|7 Alderman'sHill|Palmers Green|London||RH16|4YY|RH16 4YY|GB|2020-01-01
1000000008|62 High Road|Ilford|Essex||IP11|7DL|IP11 7DL|GB|2020-01-01
1000000009|190 Fore Street|Edmonton|London||CM20|1LB|CM20 1LB|GB|2020-01-01
1000000010|51 The Broadway|West Ealing|London||DT4 |8PX|DT4 8PX |GB|2020-01-01
1000000011|9/10 The Promenade|Edgware|Middlesex||NN1 |2EG|NN1 2EG |GB|2020-01-01
1000000012|101-107 Finsbury Court|London|London||NG10|1JS|NG10 1JS|GB|2020-01-01
1000000013|9 New Broadway|Ealing|London||N1  |0PN|N1 0PN  |GB|2020-01-01
1000000014|124/126 The Grove|Stratford|London||TQ4 |5BW|TQ4 5BW |GB|2020-01-01
1000000015|9/10 Trinity Parade|Hounslow|Middlesex||B2  |5QR|B2 5QR  |GB|2020-01-01
1000000016|33 Church Street|Enfield|Middlesex||W5  |5AW|W5 5AW  |GB|2020-01-01
1000000017|5 Golders Green Road|Golders Green|London||GU34|1BS|GU34 1BS|GB|2020-01-01
1000000018|222/224 High Street North|East Ham|London||IP14|1DP|IP14 1DP|GB|2020-01-01
1000000019|125 Camden High Street|Camden Town|London||RH4 |1UR|RH4 1UR |GB|2020-01-01
1000000020|325 Station Road|Harrow|Middlesex||PA15|1UT|PA15 1UT|GB|2020-01-01
1000000021|133 High Holborn|High Holborn|London||RM12|6NJ|RM12 6NJ|GB|2020-01-01
1000000022|14 London Road|Southend-On-Sea|Essex||EH2 |4AN|EH2 4AN |GB|2020-01-01
1000000023|56/57 High Street|Chelmsford|Essex||CH5 |1BY|CH5 1BY |GB|2020-01-01
1000000024|189 Kensington High Street|Kensington|London||BH22|0LA|BH22 0LA|GB|2020-01-01
1000000025|289 High Holborn|Chancery Lane|London||SN8 |1LZ|SN8 1LZ |GB|2020-01-01
1000000026|48A High Road|Kilburn|London||MK11|1AA|MK11 1AA|GB|2020-01-01
1000000027|5 Station Road|Hayes|Middlesex||WS15|2DT|WS15 2DT|GB|2020-01-01
1000000028|108 High Street|Barkingside|Essex||NR30|1LS|NR30 1LS|GB|2020-01-01
1000000029|107 High Street|Ruislip|Middlesex||CF31|1ET|CF31 1ET|GB|2020-01-01
1000000030|156 The Centre|Feltham|Middlesex||PE30|1JY|PE30 1JY|GB|2020-01-01
1000000031|203 Muswell Hill Broadway|Muswell Hill|London||CT14|6HE|CT14 6HE|GB|2020-01-01
1000000032|87 High Street|Barnet|Hertfordshire||G82 |1PS|G82 1PS |GB|2020-01-01
1000000033|62/63 Cheapside|Cheapside|London||BD21|3QG|BD21 3QG|GB|2020-01-01
1000000034|179/181 High Street|Walthamstow|London||DE56|1PS|DE56 1PS|GB|2020-01-01
1000000035|25 High Road|Wood Green|London||CO12|3PA|CO12 3PA|GB|2020-01-01
1000000036|4 Station Parade|Barking|Essex||BT28|1EL|BT28 1EL|GB|2020-01-01
1000000037|38 The Broadway|Crouch End|London||NN3 |8JZ|NN3 8JZ |GB|2020-01-01
1000000038|266 Chingford Mount Road|Chingford|London||SG5 |1DL|SG5 1DL |GB|2020-01-01
1000000039|329 Green Street|Upton Park|London||NG20|8AA|NG20 8AA|GB|2020-01-01
1000000040|21 The Broadway|Greenford|Middlesex||HA2 |8HF|HA2 8HF |GB|2020-01-01
1000000041|95 King Street|Hammersmith|London||TN24|8SF|TN24 8SF|GB|2020-01-01
1000000042|230 High Street|Beckenham|Kent||IG1 |1DL|IG1 1DL |GB|2020-01-01
1000000043|152/154 Broadway|Bexleyheath|Kent||EC2A|1RS|EC2A 1RS|GB|2020-01-01
1000000044|42/44 High Street|Putney|London||YO7 |1LB|YO7 1LB |GB|2020-01-01
1000000045|256/258 High Street|Chatham|Kent||SW4 |7UA|SW4 7UA |GB|2020-01-01
1000000046|55 Eden Street|Kingston Upon Thames|Surrey||SW9 |7DJ|SW9 7DJ |GB|2020-01-01
1000000047|104 High Street|Margate|Kent||N7  |6AW|N7 6AW  |GB|2020-01-01
1000000048|32/34 Wimbledon Hill Road|Wimbledon|London||HA1 |2AA|HA1 2AA |GB|2020-01-01
1000000049|11A George Street|Croydon|Surrey||NN1 |2HG|NN1 2HG |GB|2020-01-01
1000000050|63 High Street|Sutton|Surrey||BB11|1PH|BB11 1PH|GB|2020-01-01
1000000051|32 Heath Road|Twickenham|Middlesex||LE11|5BY|LE11 5BY|GB|2020-01-01
1000000052|79 St.John's Road|Clapham Junction|London||TQ1 |3DN|TQ1 3DN |GB|2020-01-01
1000000053|117 High Street|Epsom|Surrey||ST5 |1PZ|ST5 1PZ |GB|2020-01-01
1000000054|18/20 High Street|Tooting|London||PE13|1DQ|PE13 1DQ|GB|2020-01-01
1000000055|146 High Road|Streatham|London||G1  |2NB|G1 2NB  |GB|2020-01-01
1000000056|498-504 Fulham Road|Fulham|London||TW9 |1DY|TW9 1DY |GB|2020-01-01
1000000057|114 High Street|New Malden|Surrey||UB1 |1SU|UB1 1SU |GB|2020-01-01
1000000058|405 Brixton Road|Brixton|London||IV30|1BJ|IV30 1BJ|GB|2020-01-01
1000000059|156 High Street|Eltham|London||SL6 |8AB|SL6 8AB |GB|2020-01-01
1000000060|77 High Street|Bromley|Kent||CT5 |1AZ|CT5 1AZ |GB|2020-01-01
1000000061|198 High Street|Orpington|Kent||IV2 |3NA|IV2 3NA |GB|2020-01-01
1000000062|26 London Road|Morden|Surrey||RM9 |5BT|RM9 5BT |GB|2020-01-01
1000000063|28 King Street|Maidstone|Kent||PE15|8TG|PE15 8TG|GB|2020-01-01
1000000064|152 Clapham High Street|Clapham Common|London||TN16|1AW|TN16 1AW|GB|2020-01-01
1000000065|77 Sandgate Road|Folkestone|Kent||OL1 |3BE|OL1 3BE |GB|2020-01-01
1000000066|52/54 High Street|Ramsgate|Kent||BT74|7DD|BT74 7DD|GB|2020-01-01
1000000067|75 High Street|Ashford|Kent||LL29|7AB|LL29 7AB|GB|2020-01-01
1000000068|129 Balham High Road|Balham|London||ME7 |1BX|ME7 1BX |GB|2020-01-01
1000000069|55 High Street|Tonbridge|Kent||NE1 |8AQ|NE1 8AQ |GB|2020-01-01
1000000070|67 Biggin Street|Dover|Kent||BN11|3AX|BN11 3AX|GB|2020-01-01
1000000071|48 High Street|West Wickham|Kent||TR7 |1DN|TR7 1DN |GB|2020-01-01
1000000072|4-5 High Street|Canterbury|Kent||NE3 |1HA|NE3 1HA |GB|2020-01-01
1000000073|129 Central Road|Worcester Park|Surrey||FK8 |2LF|FK8 2LF |GB|2020-01-01
1000000074|32 High Street|Rayleigh|Essex||L39 |2EG|L39 2EG |GB|2020-01-01
1000000075|291 Heathway|Dagenham|Essex||BT62|1HZ|BT62 1HZ|GB|2020-01-01
1000000076|2 South Road|Southall|Middlesex||ML3 |7AH|ML3 7AH |GB|2020-01-01
1000000077|304/306 Chiswick High Road|Chiswick|London||TF1 |1SW|TF1 1SW |GB|2020-01-01
1000000078|91 High Street|Sittingbourne|Kent||EC2V|6BP|EC2V 6BP|GB|2020-01-01
1000000079|2 High Street|Bedworth|Warwickshire||TN22|1AP|TN22 1AP|GB|2020-01-01
1000000080|1 Statio nRoad|Reading|Berkshire||YO1 |8SG|YO1 8SG |GB|2020-01-01
1000000081|68 High Street|Newport Pagnell|Bucks||DH3 |3DF|DH3 3DF |GB|2020-01-01
1000000082|26 Dyer Street|Cirencester|Glos||PO9 |1PQ|PO9 1PQ |GB|2020-01-01
1000000083|29 The Nook|Anstey|Leicestershire||TN31|7JN|TN31 7JN|GB|2020-01-01
1000000084|3 St Thomas Square|Ryde|Isle Of Wight||CV9 |1AU|CV9 1AU |GB|2020-01-01
1000000085|24 High Street|Daventry|Northamptonshire||BS37|4AP|BS37 4AP|GB|2020-01-01
1000000086|58 High Street|Hurstpierpoint|Sussex||BS15|8JT|BS15 8JT|GB|2020-01-01
1000000087|9 East Street|Taunton|Somerset||IG6 |2DR|IG6 2DR |GB|2020-01-01
1000000088|Unit 4|Pydar Street|Truro||EX8 |1EY|EX8 1EY |GB|2020-01-01
1000000089|21 Old Bond Street|Bath|Avon||CB7 |4NT|CB7 4NT |GB|2020-01-01
1000000090|47 Stepney Street|Llanelli|Dyfed||M28 |3BU|M28 3BU |GB|2020-01-01
1000000091|21 Adare Street|Bridgend|S Glamorgan||TA6 |3NJ|TA6 3NJ |GB|2020-01-01
1000000092|21 Windsor Road|Penarth|S Glamorgan||G74 |1LB|G74 1LB |GB|2020-01-01
1000000093|6 Victoria Place|Haverfordwest|Pembrokeshire||WV10|8PW|WV10 8PW|GB|2020-01-01
1000000094|2 Binford Place|Bridgwater|Somerset||DE14|1AN|DE14 1AN|GB|2020-01-01
1000000095|3 Hyde Road|Paignton|Devon||CM16|4AR|CM16 4AR|GB|2020-01-01
1000000096|Unit SU50C Cabot Circus|Bristol|Avon||WD3 |1AN|WD3 1AN |GB|2020-01-01
1000000097|136 Holton Road|Barry|S Glamorgan||WF8 |1AG|WF8 1AG |GB|2020-01-01
1000000098|3 High Street|Pontypridd|Mid Glamorgan||L2  |9UW|L2 9UW  |GB|2020-01-01
1000000099|22 Fore Street|Redruth|Cornwall||PO5 |3LS|PO5 3LS |GB|2020-01-01
1000000100|10 Rolle Street|Exmouth|Devon||HP11|2BL|HP11 2BL|GB|2020-01-01
1000000101|3 Victoria Street|Merthyr Tydfil|Mid Glamorgan||WR14|4QZ|WR14 4QZ|GB|2020-01-01
1000000102|2 Queen Street|Neath|W Glamorgan||RH1 |1QW|RH1 1QW |GB|2020-01-01
1000000103|21 High Street|Abergavenny|Gwent||WR11|4DB|WR11 4DB|GB|2020-01-01
1000000104|36 Middle Street|Yeovil|Somerset||CT7 |9AB|CT7 9AB |GB|2020-01-01
1000000105|16 King Street|Stroud|Glos||CW5 |5AH|CW5 5AH |GB|2020-01-01
1000000106|225-227 High Street|Cheltenham|Glos||W12 |8AT|W12 8AT |GB|2020-01-01
1000000107|78-80 Victoria Road|Ferndown|Dorset||SW19|7PA|SW19 7PA|GB|2020-01-01
1000000108|559 Christchurch Road|Boscombe Central|Dorset||YO42|2AL|YO42 2AL|GB|2020-01-01
1000000109|283 Ashley Rd|Parkstone|Dorset||E13 |9AB|E13 9AB |GB|2020-01-01
1000000110|67 High Street|Lymington|Hampshire||NW11|8EU|NW11 8EU|GB|2020-01-01
1000000111|17 Market Street|Penzance|Cornwall||KY7 |5NR|KY7 5NR |GB|2020-01-01
1000000112|2 Bedford Street|Exeter|Devon||RG45|7AD|RG45 7AD|GB|2020-01-01
1000000113|11 Bampton Street|Tiverton|Devon||TS18|1SA|TS18 1SA|GB|2020-01-01
1000000114|27 Regent Street|Bristol|Avon||GU6 |8SD|GU6 8SD |GB|2020-01-01
1000000115|33 Fore Street|Chard|Somerset||CM14|4AB|CM14 4AB|GB|2020-01-01
1000000116|83 High Street|Burnham-On-Sea|Somerset||DA14|6DW|DA14 6DW|GB|2020-01-01
1000000117|197 High Street|Berkhamsted|Hertfordshire||DY3 |1SA|DY3 1SA |GB|2020-01-01
1000000118|4A High Street|Weston-Super-Mare|Avon||SE9 |1BT|SE9 1BT |GB|2020-01-01
1000000119|47/48 Regent Street|Swindon|Wiltshire||WD17|1NN|WD17 1NN|GB|2020-01-01
1000000120|130 High Street|Marlborough|Wiltshire||OX26|6AG|OX26 6AG|GB|2020-01-01
1000000121|4-5 Sponne Hse Shopping Cntr|Towcester|Northamptonshire||PO12|1DR|PO12 1DR|GB|2020-01-01
1000000122|2 Bridge Street|Helmsley|N Yorks||SL1 |7JZ|SL1 7JZ |GB|2020-01-01
