CustomerNumber|TelephoneHome|TelephoneMob|TelephoneWork|Email|ExtractDate
1000000000||01164 346000|04275 609000|000basil.rozenekdps@test.com|2020-01-01
1000000001||01164 346001|04275 609001|001basil.rozenekdps@test.com|2020-01-01
1000000002||01164 346002|04275 609002|002basil.rozenekdps@test.com|2020-01-01
1000000003|04382 525003|01164 346003|04275 609003|003basil.rozenekdps@test.com|2020-01-01
1000000004|04382 525004|01164 346004|04275 609004|004basil.rozenekdps@test.com|2020-01-01
1000000005|04382 525005|01164 346005|04275 609005|005basil.rozenekdps@test.com|2020-01-01
1000000006|04382 525006|01164 346006|04275 609006|006basil.rozenekdps@test.com|2020-01-01
1000000007|04382 525007|01164 346007|04275 609007|007basil.rozenekdps@test.com|2020-01-01
1000000008|04382 525008|01164 346008|04275 609008|008basil.rozenekdps@test.com|2020-01-01
1000000009|04382 525009|01164 346009|04275 609009|009basil.rozenekdps@test.com|2020-01-01
1000000010|04382 525010|01164 346010|04275 609010|010basil.rozenekdps@test.com|2020-01-01
1000000011|04382 525011|01164 346011|04275 609003|011basil.rozenekdps@test.com|2020-01-01
1000000012|04382 525012|01164 346012|04275 609012|012basil.rozenekdps@test.com|2020-01-01
1000000013|04382 525013|01164 346013|04275 609013|013basil.rozenekdps@test.com|2020-01-01
1000000014||01164 346014|04275 609014|014basil.rozenekdps@test.com|2020-01-01
1000000015|04382 525015|01164 346003|04275 609015|015basil.rozenekdps@test.com|2020-01-01
1000000016|04382 525016|01164 346016|04275 609016|016basil.rozenekdps@test.com|2020-01-01
1000000017|04382 525017|01164 346017|04275 609017|017basil.rozenekdps@test.com|2020-01-01
1000000018|04382 525018|01164 346018|04275 609018|018basil.rozenekdps@test.com|2020-01-01
1000000019|04382 525019||04275 609019|019basil.rozenekdps@test.com|2020-01-01
1000000020|04382 525020||04275 609020|020basil.rozenekdps@test.com|2020-01-01
1000000021|04382 525021|01164 346021|04275 609021|021basil.rozenekdps@test.com|2020-01-01
1000000022|04382 525022|01164 346022|04275 609022|022basil.rozenekdps@test.com|2020-01-01
1000000023|04382 525023|01164 346023|04275 609023|023basil.rozenekdps@test.com|2020-01-01
1000000024|04382 525024|01164 346024||024basil.rozenekdps@test.com|2020-01-01
1000000025|04382 525025|01164 346003||025basil.rozenekdps@test.com|2020-01-01
1000000026|04382 525025|01164 346003|04275 609026|026basil.rozenekdps@test.com|2020-01-01
1000000027|04382 525027|01164 346027|04275 609027|027basil.rozenekdps@test.com|2020-01-01
1000000028|04382 525028|01164 346028|04275 609028|028basil.rozenekdps@test.com|2020-01-01
1000000029|04382 525029|01164 346029|04275 609029|029basil.rozenekdps@test.com|2020-01-01
1000000030|04382 525030|01164 346030|04275 609030|030basil.rozenekdps@test.com|2020-01-01
1000000031|04382 525031|01164 346031|04275 609031|031basil.rozenekdps@test.com|2020-01-01
1000000032|04382 525032|01164 346032|04275 609032|032basil.rozenekdps@test.com|2020-01-01
1000000033|04382 525033|01164 346033|04275 609033|033basil.rozenekdps@test.com|2020-01-01
1000000034|04382 525034|01164 346034|04275 609034|034basil.rozenekdps@test.com|2020-01-01
1000000035|04382 525035|01164 346035|04275 609035|035basil.rozenekdps@test.com|2020-01-01
1000000036|04382 525036|01164 346036|04275 609036|036basil.rozenekdps@test.com|2020-01-01
1000000037|04382 525037|01164 346037|04275 609037|037basil.rozenekdps@test.com|2020-01-01
1000000038|04382 525038|01164 346038|04275 609038|038basil.rozenekdps@test.com|2020-01-01
1000000039|04382 525039|01164 346039|04275 609039|039basil.rozenekdps@test.com|2020-01-01
1000000040|04382 525040|01164 346040|04275 609040|040basil.rozenekdps@test.com|2020-01-01
1000000041|04382 525041|01164 346041|04275 609041|041basil.rozenekdps@test.com|2020-01-01
1000000042|04382 525042|01164 346042|04275 609042|042basil.rozenekdps@test.com|2020-01-01
1000000043|04382 525043|01164 346043|04275 609043|043basil.rozenekdps@test.com|2020-01-01
1000000044|04382 525044|01164 346044|04275 609044|044basil.rozenekdps@test.com|2020-01-01
1000000045|04382 525045|01164 346045|04275 609045|045basil.rozenekdps@test.com|2020-01-01
1000000046|04382 525046|01164 346046|04275 609046|046basil.rozenekdps@test.com|2020-01-01
1000000047|04382 525047|01164 346047|04275 609047|047basil.rozenekdps@test.com|2020-01-01
1000000048|04382 525048|01164 346048|04275 609048|048basil.rozenekdps@test.com|2020-01-01
1000000049|04382 525049|01164 346049|04275 609049|049basil.rozenekdps@test.com|2020-01-01
1000000050|04382 525050|01164 346050|04275 609050|050basil.rozenekdps@test.com|2020-01-01
1000000051|04382 525051|01164 346051|04275 609051|051basil.rozenekdps@test.com|2020-01-01
1000000052|04382 525052|01164 346052|04275 609052|052basil.rozenekdps@test.com|2020-01-01
1000000053|04382 525053|01164 346053|04275 609053|053basil.rozenekdps@test.com|2020-01-01
1000000054|04382 525054|01164 346054|04275 609054||2020-01-01
1000000055|04382 525055|01164 346055|04275 609055|055basil.rozenekdps@test.com|2020-01-01
1000000056|04382 525017|01164 346056|04275 609056|056basil.rozenekdps@test.com|2020-01-01
1000000057|04382 525057|01164 346057|04275 609057|057basil.rozenekdps@test.com|2020-01-01
1000000058|04382 525058|01164 346058|04275 609058|058basil.rozenekdps@test.com|2020-01-01
1000000059|04382 525059|01164 346059|04275 609059|059basil.rozenekdps@test.com|2020-01-01
1000000060|04382 525060|01164 346060|04275 609003||2020-01-01
1000000061|04382 525061|01164 346061|04275 609061|061basil.rozenekdps@test.com|2020-01-01
1000000062|04382 525062|01164 346062|04275 609003|062basil.rozenekdps@test.com|2020-01-01
1000000063|04382 525063|01164 346063|04275 609063|063basil.rozenekdps@test.com|2020-01-01
1000000064|04382 525064|01164 346064|04275 609003|064basil.rozenekdps@test.com|2020-01-01
1000000065|04382 525065|01164 346065|04275 609065|065basil.rozenekdps@test.com|2020-01-01
1000000066|04382 525066|01164 346066|04275 609066|066basil.rozenekdps@test.com|2020-01-01
1000000067|04382 525067|01164 346067|04275 609067|067basil.rozenekdps@test.com|2020-01-01
1000000068|04382 525068|01164 346068|04275 609068|068basil.rozenekdps@test.com|2020-01-01
1000000069|04382 525069|01164 346069|04275 609003|069basil.rozenekdps@test.com|2020-01-01
1000000070|04382 525070|01164 346070|04275 609070|070basil.rozenekdps@test.com|2020-01-01
1000000071|04382 525071|01164 346071|04275 609071|071basil.rozenekdps@test.com|2020-01-01
1000000072|04382 525072|01164 346072|04275 609003|072basil.rozenekdps@test.com|2020-01-01
1000000073|04382 525073|01164 346073|04275 609073|073basil.rozenekdps@test.com|2020-01-01
1000000074|04382 525074|01164 346074|04275 609074|074basil.rozenekdps@test.com|2020-01-01
1000000075|04382 525075|01164 346075|04275 609075|075basil.rozenekdps@test.com|2020-01-01
1000000076|04382 525076|01164 346076|04275 609076|076basil.rozenekdps@test.com|2020-01-01
1000000077|04382 525077|01164 346077|04275 609077|077basil.rozenekdps@test.com|2020-01-01
