CustomerNumber|FullName|DOB|DOD|Nationality|NINumber|NBSRelationshipStartDate|Gender|MaritalStatusFlag|ExtractDate
1000999997|Mr Tony Risk|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000000|Mr Desmond Clark|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000001|Mrs Frankie Marino|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000002|Miss Lana Donovan|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000003|Miss Isabella Martinez|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000004|Mr Winston Williams|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000005|Mrs Ruby Chang|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000006|Miss Sylvia Blackwood|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000007|Miss Nora Nelson|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000008|Mr Dexter Turner|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000009|Mrs Fiona Washington|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000010|Miss Veronica Rodriguez|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000011|Mr Jimmy Malone|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000012|Mr Milo Spencer|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000013|Mr Mickey Deluca|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000014|Mrs Sylvia Thompson|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000015|Mrs Fiona Williams|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000016|Mr Luther Washington|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000017|Mr Winston Williams|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000018|Mr Dexter Williams|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000019|Mr Hank Mercer|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000020|Mrs Veronica Blackwood|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000021|Mr Rex Gallagher|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000022|Mr Marcus Baxter|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000023|Mrs Gabrielle Sinclair|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000024|Mr Donovan O'Connor|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000025|Mr Jackson Reynolds|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000026|Mrs Lana Rodriguez|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000027|Mr Sterling Ramirez|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000028|Mrs Elara Foster|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000029|Mrs Jocelyn JeMr Desmond Montgomeryerson|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000030|Mr Marcus Baxter|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000031|Mr Donovan Carmichael|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000032|Mr Jackson Reynolds|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000033|Mrs Jocelyn JeMr Desmond Montgomeryerson|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000034|Mrs Valencia Vega|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000035|Mr Damien Turner|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000036|Mrs Adriana Rodriguez|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000037|Mr Lucas Gallagher|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000038|Mrs Bianca Martinez|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000039|Mr Elijah Washington|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000040|Mr Lyla Donovan|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000041|Mr Morgan Mercer|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000042|Mr Xavier Vega|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000043|Mr Ava Caldwell|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000044|Mr Hector Ramirez|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000045|Mrs Sienna O'Connor|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000046|Mr Desmond Montgomery|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000047|Mr Riley Jefferson|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000048|Mrs Naomi Eastwood|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000049|Mrs Olivia Turner|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000050|Mr Ethan Rodriguez|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000051|Mrs Ava Gallagher|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000052|Mr A Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000053|Mrs B Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000054|Miss C Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000055|Miss D Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000056|Mr E Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000057|Mrs F Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000058|Miss G Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000059|Miss H Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000060|Mr I Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000061|Mrs J Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000062|Miss K Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000063|Miss L Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000064|Mr M Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000065|Mrs N Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000066|Miss O Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000067|Miss P Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000068|Mr R Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000069|Mrs R Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000070|Miss S Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000071|Miss T Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000072|Mr U Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000073|Mrs V Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000074|Miss W Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000075|Miss X Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000076|Mr A Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000077|Mrs B Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000078|Miss C Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000079|Miss D Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000080|Mr E Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000081|Mrs G Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000082|Miss I Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000083|Miss G Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000084|Mr H Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000085|Mrs J Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000086|Miss R Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
1000000087|Miss S Risk Squad|07/05/2021||GB||07/05/2021|F|S|2020-01-01
1000000088|Mr T Risk Squad|07/05/2021||GB||07/05/2021|M|M|2020-01-01
1000000089|Mrs I Risk Squad|07/05/2021||GB||07/05/2021|F|M|2020-01-01
1000000090|Miss R Risk Squad|07/05/2021||GB||07/05/2021|F|U|2020-01-01
