ExternalReferenceNumber,PaymentDistributionReference,SendingAccount,ReceivingAccount,CreateDateTime,EffectiveDate,ReceiveDateTime,Amount
TRN02020501,27693e22-5afe-e611-bf4b-005056ba26fc,7040600750874,7040610000000,01/06/2023,02/06/2023,03/06/2023,2145
TRN02020502,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000000,7040610000001,01/06/2023,02/06/2023,03/06/2023,2698
TRN02020503,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000001,7040610000002,01/06/2023,02/06/2023,03/06/2023,2960
TRN02020504,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000002,7040610000003,01/06/2023,02/06/2023,03/06/2023,2581
TRN02020505,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000003,7040610000004,01/06/2023,02/06/2023,03/06/2023,2864
TRN02020506,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000004,7040610000005,01/06/2023,02/06/2023,03/06/2023,7
TRN02020507,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000005,7040610000006,01/06/2023,02/06/2023,03/06/2023,1822
TRN02020508,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000006,7040610000007,01/06/2023,02/06/2023,03/06/2023,733
TRN02020509,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000007,7040610000008,01/06/2023,02/06/2023,03/06/2023,1073
TRN02020510,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000008,7040610000009,01/06/2023,02/06/2023,03/06/2023,1881
TRN02020511,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000009,7040610000010,01/06/2023,02/06/2023,03/06/2023,2409
TRN02020512,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000010,7040610000011,01/06/2023,02/06/2023,03/06/2023,27
TRN02020513,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000011,7040610000012,01/06/2023,02/06/2023,03/06/2023,1885
TRN02020514,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000012,7040610000013,01/06/2023,02/06/2023,03/06/2023,563
TRN02020515,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000013,7040610000014,01/06/2023,02/06/2023,03/06/2023,3020
TRN02020516,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000014,7040610000015,01/06/2023,02/06/2023,03/06/2023,327
TRN02020517,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000015,7040610000016,01/06/2023,02/06/2023,03/06/2023,2030
TRN02020518,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000016,7040610000017,01/06/2023,02/06/2023,03/06/2023,511
TRN02020519,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000017,7040610000018,01/06/2023,02/06/2023,03/06/2023,1884
TRN02020520,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000018,7040610000019,01/06/2023,02/06/2023,03/06/2023,974
TRN02020521,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000019,7040610000020,01/06/2023,02/06/2023,03/06/2023,1947
TRN02020522,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000020,7040610000021,01/06/2023,02/06/2023,03/06/2023,1785
TRN02020523,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000021,7040610000022,01/06/2023,02/06/2023,03/06/2023,301
TRN02020524,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000022,7040610000023,01/06/2023,02/06/2023,03/06/2023,1801
TRN02020525,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000023,7040610000024,01/06/2023,02/06/2023,03/06/2023,2544
TRN02020526,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000024,7040610000025,01/06/2023,02/06/2023,03/06/2023,348
TRN02020527,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000025,7040610000026,01/06/2023,02/06/2023,03/06/2023,1128
TRN02020528,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000026,7040610000027,01/06/2023,02/06/2023,03/06/2023,3063
TRN02020529,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000027,7040610000028,01/06/2023,02/06/2023,03/06/2023,2177
TRN02020530,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000028,7040610000029,01/06/2023,02/06/2023,03/06/2023,2926
TRN02020531,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000029,7040610000030,01/06/2023,02/06/2023,03/06/2023,2156
TRN02020532,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000030,7040610000031,01/06/2023,02/06/2023,03/06/2023,2468
TRN02020533,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000031,7040610000032,01/06/2023,02/06/2023,03/06/2023,2324
TRN02020534,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000032,7040610000033,01/06/2023,02/06/2023,03/06/2023,2781
TRN02020535,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000033,7040610000034,02/06/2023,03/06/2023,04/06/2023,2727
TRN02020536,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000034,7040610000035,03/06/2023,04/06/2023,05/06/2023,2439
TRN02020537,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000035,7040610000036,04/06/2023,05/06/2023,06/06/2023,2260
TRN02020538,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000036,7040610000037,05/06/2023,06/06/2023,07/06/2023,2524
TRN02020539,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000037,7040610000038,06/06/2023,07/06/2023,08/06/2023,1437
TRN02020540,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000038,7040610000039,07/06/2023,08/06/2023,09/06/2023,350
TRN02020541,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000039,7040610000040,08/06/2023,09/06/2023,10/06/2023,1117
TRN02020542,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000040,7040610000041,09/06/2023,10/06/2023,11/06/2023,1666
TRN02020543,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000041,7040610000042,10/06/2023,11/06/2023,12/06/2023,2383
TRN02020544,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000042,7040610000043,11/06/2023,12/06/2023,13/06/2023,123
TRN02020545,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000043,7040610000044,12/06/2023,13/06/2023,14/06/2023,2870
TRN02020546,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000044,7040610000045,13/06/2023,14/06/2023,15/06/2023,1802
TRN02020547,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000045,7040610000046,14/06/2023,15/06/2023,16/06/2023,1812
TRN02020548,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000046,7040610000047,15/06/2023,16/06/2023,17/06/2023,1340
TRN02020549,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000047,7040610000048,16/06/2023,17/06/2023,18/06/2023,483
TRN02020550,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000048,7040610000049,17/06/2023,18/06/2023,19/06/2023,1656
TRN02020551,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000049,7040610000050,18/06/2023,19/06/2023,20/06/2023,1546
TRN02020552,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000050,7040610000051,19/06/2023,20/06/2023,21/06/2023,322
TRN02020553,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000051,7040610000052,20/06/2023,21/06/2023,22/06/2023,527
TRN02020554,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000052,7040610000053,21/06/2023,22/06/2023,23/06/2023,296
TRN02020555,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000053,7040610000054,21/06/2023,22/06/2023,23/06/2023,1600
TRN02020556,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000054,7040610000055,22/06/2023,23/06/2023,24/06/2023,2353
TRN02020557,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000055,7040610000056,23/06/2023,24/06/2023,25/06/2023,29
TRN02020558,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000056,7040610000057,24/06/2023,25/06/2023,26/06/2023,2467
TRN02020559,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000057,7040610000058,25/06/2023,26/06/2023,27/06/2023,2998
TRN02020560,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000058,7040610000059,26/06/2023,27/06/2023,28/06/2023,2050
TRN02020561,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000059,7040610000060,27/06/2023,28/06/2023,29/06/2023,430
TRN02020562,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000060,7040610000061,28/06/2023,29/06/2023,30/06/2023,602
TRN02020563,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000061,7040610000062,29/06/2023,30/06/2023,01/07/2023,603
TRN02020564,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000062,7040610000063,30/06/2023,01/07/2023,02/07/2023,2375
TRN02020565,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000063,7040610000064,01/07/2023,02/07/2023,03/07/2023,1852
TRN02020566,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000064,7040610000065,02/07/2023,03/07/2023,04/07/2023,2053
TRN02020567,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000065,7040610000066,03/07/2023,04/07/2023,05/07/2023,429
TRN02020568,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000066,7040610000067,04/07/2023,05/07/2023,06/07/2023,860
TRN02020569,27693e22-5afe-e611-bf4b-005056ba26fc,7040610000067,7040610000068,05/07/2023,06/07/2023,07/07/2023,3000
